region,regime,policy,WEL,ISR
saudi,easy,noop,26.786666666666665,0.2933333333333332
saudi,easy,value_first,17.96,0.5714285714285713
saudi,easy,commnet,4.176,0.8864761904761906
saudi,easy,hiercomm_heur,3.272,0.908952380952381
saudi,medium,noop,27.0,0.2857142857142856
saudi,medium,value_first,18.84,0.5447619047619046
saudi,medium,commnet,12.44,0.6819047619047618
saudi,medium,hiercomm_heur,7.023999999999999,0.8087619047619047
saudi,hard,noop,27.0,0.2857142857142856
saudi,hard,value_first,19.44,0.5238095238095236
saudi,hard,commnet,17.951999999999998,0.5436190476190477
saudi,hard,hiercomm_heur,11.309333333333331,0.7150476190476189
california,easy,noop,12.68,0.571111111111111
california,easy,value_first,6.96,0.7333333333333334
california,easy,commnet,8.064,0.7666666666666665
california,easy,hiercomm_heur,0.448,0.9875555555555556
california,medium,noop,34.0,0.0
california,medium,value_first,28.4,0.1555555555555555
california,medium,commnet,19.576,0.3977777777777777
california,medium,hiercomm_heur,5.8773333333333335,0.8320000000000001
california,hard,noop,34.0,0.0
california,hard,value_first,32.8,0.0333333333333333
california,hard,commnet,25.586666666666662,0.2702222222222222
california,hard,hiercomm_heur,17.720000000000002,0.4795555555555555
saudi,easy,greedy_risk,25.06,0.34571428571428564
saudi,easy,local_reactive,3.06,0.9342857142857143
saudi,easy,mappo,6.048,0.7965714285714286
saudi,medium,greedy_risk,24.48,0.36571428571428577
saudi,medium,local_reactive,12.58,0.7085714285714286
saudi,medium,mappo,9.764000000000001,0.6937142857142857
saudi,hard,greedy_risk,25.92,0.32
saudi,hard,local_reactive,13.42,0.6971428571428571
saudi,hard,mappo,16.612000000000002,0.5462857142857142
california,easy,greedy_risk,6.96,0.73
california,easy,local_reactive,0.0,1.0
california,easy,mappo,2.4,0.9333333333333333
california,medium,greedy_risk,28.48,0.15333333333333332
california,medium,local_reactive,10.7,0.6933333333333335
california,medium,mappo,14.416,0.6206666666666666
california,hard,greedy_risk,33.04,0.026666666666666665
california,hard,local_reactive,24.3,0.2666666666666666
california,hard,mappo,23.284000000000002,0.38866666666666666
